Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
San Miguel,Municipality,"21,671","27,883","36,287","39,340","41,809"
Tagbina,Municipality,"28,976","34,057","34,812","38,833","41,051"
Tago,Municipality,"23,987","29,721","33,993","35,329","39,831"
Tandag,City,"34,351","44,327","52,114","56,364","62,669"
Tawi-Tawi,Province,"228,204","322,317","366,550","390,715","440,276"
Bongao,Municipality,"37,932","58,174","79,362","100,527","116,118"
Languyan,Municipality,"31,984","42,040","42,690","33,494","37,096"
Mapun ( Cagayan de Tawi-Tawi ),Municipality,"19,372","22,011","24,168","26,597","30,038"
Panglima Sugala ( Balimbing ),Municipality,"20,767","33,315","38,704","44,184","48,055"
Sapa-Sapa,Municipality,"16,173","26,242","28,781","30,917","33,580"
Sibutu,Municipality,...,"24,515","28,532","30,387","34,243"
Simunul,Municipality,"26,491","31,962","34,538","31,223","34,245"
Sitangkai,Municipality,...,"28,257","30,514","33,334","37,319"
South Ubian,Municipality,"19,191","27,301","27,741","25,935","29,583"
Tandubas,Municipality,"19,505","24,900","27,748","29,390","34,316"
Turtle Islands,Municipality,"2,296","3,600","3,772","4,727","5,683"
Zamboanga del Norte,Province,"676,862","823,130","957,997","1,011,393","1,047,455"
Bacungan ( Leon T. Postigo ),Municipality,"14,618","19,550","24,643","26,221","27,639"
Baliguian,Municipality,"8,957","15,631","21,190","22,588","23,771"
Dapitan,City,"59,046","68,178","77,441","82,418","85,202"
Dipolog,City,"79,887","99,862","120,460","130,759","138,141"
Godod,Municipality,"11,550","15,139","17,788","17,424","17,510"
Gutalac,Municipality,"17,462","28,215","32,153","34,654","36,090"
Jose Dalman ( Ponot ),Municipality,"17,914","23,322","27,033","27,388","28,881"
Kalawit,Municipality,"12,079","21,372","22,157","23,633","23,812"
Katipunan,Municipality,"32,871","37,448","43,339","45,577","44,661"
Labason,Municipality,"24,994","33,528","40,375","41,357","43,934"
La Libertad,Municipality,"7,543","7,419","7,771","8,406","8,119"
Liloy,Municipality,"29,275","33,702","39,015","39,812","42,213"
Manukan,Municipality,"28,554","31,855","35,589","36,526","36,887"
Mutia,Municipality,"8,625","9,806","11,975","12,675","11,726"
Piñan ( New Piñan ),Municipality,"14,930","17,950","20,088","20,161","20,221"
Polanco,Municipality,"27,916","34,557","37,472","39,347","42,265"
President Manuel A. Roxas,Municipality,"27,470","33,659","37,611","39,323","39,198"
Rizal,Municipality,"13,115","13,501","14,111","14,021","15,052"
Salug,Municipality,"25,702","28,914","31,157","32,204","32,134"
Sergio Osmeña Sr.,Municipality,"22,454","27,500","29,453","30,220","31,942"
Siayan,Municipality,"24,314","33,074","34,989","34,966","36,236"
Sibuco,Municipality,"20,839","24,411","31,982","34,620","36,049"
Sibutad,Municipality,"16,279","15,635","16,783","17,645","17,453"
Sindangan,Municipality,"66,148","80,133","94,146","99,435","103,952"
Siocon,Municipality,"26,656","32,699","41,637","46,907","48,524"
Sirawai,Municipality,"19,911","16,534","24,583","28,799","31,163"
Tampilisan,Municipality,"14,665","19,536","23,056","24,307","24,680"
Zamboanga del Sur ( incl. City of Zamboanga ),Province,"1,138,086","1,438,011","1,766,814","1,872,473","2,027,902"
Aurora,Municipality,"38,097","42,820","48,434","50,755","52,995"
Bayog,Municipality,"22,092","26,248","30,048","33,591","34,519"
Dimataling,Municipality,"20,365","25,843","27,715","30,081","31,340"
Dinas,Municipality,"28,141","31,570","34,768","35,504","36,291"
Dumalinao,Municipality,...,"26,030","30,691","32,013","32,928"
Dumingag,Municipality,"33,514","42,203","46,500","47,485","48,881"
Guipos,Municipality,...,"18,172","19,771","20,729","21,738"
Josefina,Municipality,"7,591","8,758","10,826","11,799","12,205"
Kumalarang,Municipality,"20,928","24,926","28,210","28,469","29,479"
Labangan,Municipality,"29,229","34,530","39,168","41,790","44,262"
Lakewood,Municipality,"13,376","16,317","19,645","20,374","21,559"
Lapuyan,Municipality,"20,861","24,366","26,175","27,264","27,737"
Mahayag,Municipality,"37,690","42,462","45,015","46,516","48,258"
Margosatubig,Municipality,"28,747","34,461","35,596","37,873","38,660"
Midsalip,Municipality,"22,891","28,909","31,467","32,075","33,711"
Molave,Municipality,"36,556","45,082","48,939","52,006","53,140"
Pagadian,City,"106,307","142,585","186,852","199,060","210,452"
Pitogo,Municipality,"18,389","21,064","25,502","27,057","27,516"
Ramon Magsaysay ( Liargo ),Municipality,"21,065","23,323","26,194","26,606","27,280"
San Miguel,Municipality,...,"15,269","18,258","19,205","19,838"
San Pablo,Municipality,"21,230","23,450","26,500","26,106","26,648"
Sominot ( Don Mariano Marcos ),Municipality,"12,653","14,815","16,652","18,537","19,061"
Tabina,Municipality,"19,422","21,882","24,110","25,061","25,734"
Tambulig,Municipality,"27,796","31,399","34,883","36,160","37,480"
Tigbao,Municipality,...,"16,914","19,300","20,979","21,675"
Tukuran,Municipality,"26,854","33,747","37,883","39,820","42,429"
Vincenzo A. Sagun,Municipality,"17,294","19,072","20,583","23,759","24,852"
Zamboanga,City,"442,345","601,794","807,129","861,799","977,234"
Zamboanga Sibugay,Province,"407,038","497,239","584,685","633,129","669,840"
Alicia,Municipality,"24,803","29,954","34,895","36,013","39,456"
Buug,Municipality,"32,815","33,623","35,969","36,634","38,425"
Diplahan,Municipality,"20,365","23,909","31,215","32,428","32,585"
Imelda,Municipality,"16,231","21,534","27,903","28,018","26,020"
Ipil,Municipality,"43,031","52,481","64,939","74,656","89,401"
Kabasalan,Municipality,"32,323","37,619","41,421","44,336","46,884"
Mabuhay,Municipality,"13,292","25,199","33,093","36,870","37,390"
Malangas,Municipality,"28,957","29,770","31,243","33,380","32,022"
Naga,Municipality,"31,582","35,176","37,814","38,547","41,743"
Olutanga,Municipality,"16,378","22,624","28,717","33,671","38,438"
Payao,Municipality,"23,937","27,036","29,755","31,686","34,952"
Roseller Lim,Municipality,"29,325","34,152","37,216","43,646","43,575"
Siay,Municipality,"24,689","32,844","38,229","41,572","40,585"
Talusan,Municipality,"9,488","18,394","25,268","29,969","27,873"
Titay,Municipality,"31,994","39,730","46,456","49,673","53,994"
Tungawan,Municipality,"26,005","33,194","40,552","42,030","46,497"
